timestamp,temperature,humidity,wind_speed
2024-01-01 00:00,18,70,5
2024-01-01 01:00,17,72,4
2024-01-01 02:00,17,71,3
2024-01-01 03:00,16,75,3
2024-01-01 04:00,16,74,4
2024-01-01 05:00,17,73,5
2024-01-01 06:00,18,70,6
2024-01-01 07:00,20,65,6
2024-01-01 08:00,22,60,7
2024-01-01 09:00,24,58,7
2024-01-01 10:00,26,55,8
2024-01-01 11:00,27,53,8
2024-01-01 12:00,28,50,9
2024-01-01 13:00,29,48,9
2024-01-01 14:00,30,45,10
2024-01-01 15:00,31,44,10
2024-01-01 16:00,30,46,8
2024-01-01 17:00,28,49,7
2024-01-01 18:00,25,55,6
2024-01-01 19:00,23,60,5
2024-01-01 20:00,21,65,4
2024-01-01 21:00,20,70,4
2024-01-01 22:00,19,72,3
2024-01-01 23:00,18,74,3
